"subjIds" "activities" "means"
13 "Sitting" -0.112124137754386
13 "Standing" -0.0972465110836735
13 "Walking" -0.111431456192982
13 "Walking Down Stairs" -0.101993941531915
13 "Walking Up Stairs" -0.125767265890909
14 "Lying" -0.0868333315509804
14 "Sitting" -0.103817701790667
14 "Standing" -0.100401490425926
14 "Walking" -0.106756369135593
14 "Walking Down Stairs" -0.0928330165533333
14 "Walking Up Stairs" -0.112279688983333
15 "Lying" -0.118530240291667
15 "Sitting" -0.105910832679245
15 "Standing" -0.11366125320339
15 "Walking" -0.107621819518519
15 "Walking Down Stairs" -0.110526066428571
15 "Walking Up Stairs" -0.116952464895833
16 "Lying" -0.107310493242857
16 "Sitting" -0.103657729076923
16 "Standing" -0.0891404038405797
16 "Walking" -0.108804049803922
16 "Walking Down Stairs" -0.119873705148936
16 "Walking Up Stairs" -0.124074517745098
17 "Lying" -0.107006279704225
17 "Sitting" -0.111432145565
17 "Standing" -0.11362408509375
17 "Walking" -0.109792122032787
17 "Walking Down Stairs" -0.0892432745173913
17 "Walking Up Stairs" -0.121290442104167
18 "Lying" -0.107698927907692
18 "Sitting" -0.108453355945205
18 "Standing" -0.111904775824561
18 "Walking" -0.104218315464286
18 "Walking Down Stairs" -0.1033908092
18 "Walking Up Stairs" -0.112655891327586
19 "Lying" -0.10898146186747
19 "Sitting" -0.10904190460274
19 "Standing" -0.10870765430137
19 "Walking" -0.122736673192308
19 "Walking Down Stairs" -0.133695240660974
19 "Walking Up Stairs" -0.151054607725
20 "Lying" -0.104274322538235
20 "Sitting" -0.100402759931507
20 "Standing" -0.108369634515152
20 "Walking" -0.113539477098039
20 "Walking Down Stairs" -0.104602925937778
20 "Walking Up Stairs" -0.121023947784314
21 "Lying" -0.103253832233333
21 "Sitting" -0.110417855808989
21 "Standing" -0.112057887741176
21 "Walking" -0.104319332403846
21 "Walking Down Stairs" -0.09816866218
21 "Walking Up Stairs" -0.125414265340426
22 "Lying" -0.110800924652778
22 "Sitting" -0.104967423820635
22 "Standing" -0.105827369516129
22 "Walking" -0.107112510934783
22 "Walking Down Stairs" -0.1074157796
22 "Walking Up Stairs" -0.117550861738095
23 "Lying" -0.104256776291667
23 "Sitting" -0.1105970177575
23 "Standing" -0.103808679294118
23 "Walking" -0.113382994084746
23 "Walking Down Stairs" -0.0988123712574074
23 "Walking Up Stairs" -0.126890616782353
24 "Lying" -0.107236237236111
24 "Sitting" -0.108222553855072
24 "Standing" -0.103041061426471
24 "Walking" -0.110595952913793
24 "Walking Down Stairs" -0.104818820272727
24 "Walking Up Stairs" -0.114248610966102
25 "Lying" -0.100428830260274
25 "Sitting" -0.107352957594595
25 "Standing" -0.109160440476923
25 "Walking" -0.108737636297297
25 "Walking Down Stairs" -0.107192376965517
25 "Walking Up Stairs" -0.126210440292308
26 "Lying" -0.105002540289474
26 "Sitting" -0.110237796416216
26 "Standing" -0.0974448692333333
26 "Walking" -0.108927011474576
26 "Walking Down Stairs" -0.1064396194
26 "Walking Up Stairs" -0.121943461236364
27 "Lying" -0.107699732837838
27 "Sitting" -0.107835818025
27 "Standing" -0.105521912588571
27 "Walking" -0.112822289263158
27 "Walking Down Stairs" -0.112837694688636
27 "Walking Up Stairs" -0.123530438196078
28 "Lying" -0.1083448529625
28 "Sitting" -0.106579385202532
28 "Standing" -0.111517939555556
28 "Walking" -0.103714705396296
28 "Walking Down Stairs" -0.10858897408913
28 "Walking Up Stairs" -0.121514025692157
29 "Lying" -0.109462068173913
29 "Sitting" -0.108659067476923
29 "Standing" -0.1104118192
29 "Walking" -0.106632427301887
29 "Walking Down Stairs" -0.0981339984895833
29 "Walking Up Stairs" -0.118000587840816
30 "Lying" -0.1036581505
30 "Sitting" -0.108756209835593
30 "Standing" -0.099515446133871
30 "Walking" -0.0986247068969231
30 "Walking Down Stairs" -0.0999781422322581
30 "Walking Up Stairs" -0.124697493775385
